State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Having_latrine_facility_within_the_premises_Total_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_3_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,sex_ratio,literacy_rate
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,1072807,989523,1273520,9754,759088,514432,1636460,241451,13730,4174,1890,2045,160524,2056,274726,67157,250312,258452,242467,338861,342646,232434,154076,116396,21157,2043961,1261238,510375,282115,8602,130956,10350,28956,41924,78314,83464,119534,28896,922,62
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,533935,508951,510061,590,303902,206159,903179,116710,6565,888,35,129,12936,2444,27037,5307,200974,14528,200861,161729,102033,63670,35342,21697,2046,1055353,692650,222892,126682,662,18298,3419,13593,15490,25520,34121,68464,20305,953,49
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,775022,717051,793538,1944,489837,303701,1165140,302626,6027,143,188,282,16067,1600,130193,26760,257373,64337,217460,266292,190171,96331,54419,43979,6699,1510895,944961,338413,205514,3185,42762,4333,18370,25873,46589,49742,85691,29718,925,53
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1405956,1278531,1722204,11568,1014950,707254,2149480,431762,11243,9727,331,1268,77182,3494,427173,83995,258764,405455,317918,501453,449506,305054,186697,107382,14615,2545147,1634835,648876,356445,44331,198464,15054,33281,53844,99175,101585,153679,42561,909,64
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,668514,652928,672409,1193,406275,266134,1044726,106865,86404,234,267,162,78622,4162,62110,11836,303697,23281,229157,229259,149009,69525,38383,25593,2697,1344701,799323,324226,196164,1729,26873,8706,28365,38168,56146,52833,76605,12102,977,51
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,683575,639209,653476,565,405161,248315,1104475,194680,17168,123,371,20,4591,1356,29373,6798,272872,19180,207665,195565,147446,87844,46882,28144,2830,1274228,860869,284036,177599,280,18018,5076,26987,26314,40088,51059,88464,16722,935,49
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1258098,1187376,1253475,1944,783736,469739,1856202,508586,14645,937,650,1503,59218,3733,125431,16909,452564,46886,503261,443980,261309,146464,77540,55122,8449,2543810,1597269,533788,312967,1450,42269,5534,22053,29735,53870,72742,146041,61473,944,51
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,677927,635624,604519,874,376212,228307,937126,289182,37795,97,128,115,47067,2041,43230,7421,276454,15576,217607,190777,126766,79430,47395,30870,4002,1350311,820367,308639,183519,1026,26348,6263,23752,30133,45705,48161,79584,17420,938,46
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,514390,510823,559720,831,321795,237925,309563,51429,202449,221,531,23,457468,3529,31687,9108,216629,16445,136719,242580,182260,82114,45613,23742,2913,1038060,643579,225871,155452,311,19545,5786,13647,18973,28695,33927,69063,18758,993,55
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,404830,386212,426312,808,258260,168052,550560,164406,4419,520,118,783,68564,1672,49419,5564,165555,20113,131150,132014,85745,40613,22995,14802,1578,794909,480895,189889,116810,3448,14710,3906,12645,18845,30509,27563,43706,12929,954,54
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,369666,357312,350682,340,209706,140976,473049,69808,47653,120,128,16,133525,2679,38194,2177,146377,14137,109491,121529,88787,46142,23885,13956,1017,754084,484084,152720,89870,304,14317,3155,10368,12948,20177,24955,50469,10613,967,48
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,232629,229161,259707,351,149568,110139,112378,95012,16770,51,33,15,235987,1544,28769,8016,96759,14725,82873,84920,63545,38503,21987,13847,976,494974,298844,100340,62244,362,13613,2578,7033,9632,14782,17174,32787,7316,985,56
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,452661,447761,352881,328,206989,145892,410127,322963,75865,356,283,222,88760,1846,31414,5316,200588,16587,100367,133770,79045,29934,15700,9822,1525,918597,587976,206826,104418,1202,18395,5517,18907,26520,34355,32530,52332,10417,989,39
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1006302,933567,1024563,2155,621706,402857,1683169,238295,6164,734,188,284,5681,5354,68238,17270,355529,52375,303053,296937,231565,160964,100290,63595,7117,1966945,1244572,425668,268387,1242,46445,6422,31313,35321,56610,71184,125041,29624,928,53
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,22538,1085244,826189,1612239,410759,193974,4826,932,2733,677445,11345,350908,164237,420740,310242,361522,547583,495515,370847,247237,195181,28424,2860164,1742293,725938,409166,36856,227932,15357,40971,65660,113820,114544,167822,38615,949,66
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,591,287303,195960,628044,398243,83208,198,245,125,38426,2078,34879,11545,223450,37543,146399,171416,110822,52248,28087,19832,2593,1168693,745027,261849,137727,5964,34451,5792,21978,30506,40484,41665,70027,14065,952,42
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,423,191991,151492,201524,15103,306601,51,753,114,73930,1502,16865,3472,144169,11114,82317,130068,97580,47836,24842,13674,1197,588855,357859,143560,97817,342,9547,4170,10863,14689,20040,21214,38718,6912,997,57
